,brand,model,price,province,matriculation,fuel,kilometres,gear
0,AUDI,A5 Coupé 3.0TDI quattro S-Tronic,15450,Granada,2010, Diésel,303000,Automático
1,BMW,X3 xDrive 20iA,57500,Almería,2021, Gasolina,10,Automático
2,OPEL,Mokka X 1.4T Innovation 4x2 Aut.,13499,Castellón,2019, Gasolina,98456,Automático
3,BMW,Serie 3 318dA Essential Edition,13990,Cantabria,2014, Diésel,192000,Automático
4,PEUGEOT,308 SW 1.6 BlueHDi MBC Active 120,10200,Cádiz,2016, Diésel,134000,Manual
5,TOYOTA,C-HR 125H Advance,21990,Cádiz,2017, Híbrido,58171,Automático
6,SEAT,León 1.0 TSI S&S Style Launch Pack con Navegador 110,19400,Barcelona,2021, Gasolina,12281,Manual
7,LAND-ROVER,Range Rover Evoque 2.0TD4 SE Dynamic 4WD Aut. 180,27690,Toledo,2016, Diésel,78954,Automático
8,PEUGEOT,508 SW 1.5 BlueHDi S&S Allure 130,24490,Madrid,2019, Diésel,27492,Manual
9,BMW,Z3 1.9 Roadster **Solo 40.600Kms**Identico a nuevo**,18990,Madrid,2000, Gasolina,40600,Manual
10,FORD,Mustang NUEVO  FASTBACK GT 5.0 Ti-VCT V8 336KW (450CV) 6v. Euro 6.2,51600,Valencia,2021, Gasolina,1500,Manual
11,MERCEDES-BENZ,Clase B B-CLASS 180 D SPORT,30800,Murcia,2020, Diésel,25348,Automático
12,VOLKSWAGEN,Golf Berlina  Automático de 5 Puertas,12780,Barcelona,2013, Gasolina,80000,Automático
13,BMW,Serie 3 Touring 320d Efficient Dynamics Touring Sport,19999,Cáceres,2017, Diésel,87000,Manual
14,OPEL,Zafira Pequeño  Manual de 5 Puertas,2300,Valencia,2006, Diésel,268000,Manual
15,AUDI,Q3 2.0 TDI 177 CV quattro S tronic Ambition,17500,Murcia,2012, Diésel,140000,Automático
16,OPEL,Mokka X 1.4T Innovation 4x2 Aut.,13499,Castellón,2019, Gasolina,98456,Automático
17,LAND-ROVER,Range Rover Evoque 2.0TD4 SE Dynamic 4WD Aut. 180,27690,Toledo,2016, Diésel,78954,Automático
18,PEUGEOT,508 SW 1.5 BlueHDi S&S Allure 130,24490,Madrid,2019, Diésel,27492,Manual
19,BMW,Z3 1.9 Roadster **Solo 40.600Kms**Identico a nuevo**,18990,Madrid,2000, Gasolina,40600,Manual
20,CITROEN,C1 1.0 VTi City Edition 72,12250,Madrid,2021, Gasolina,1,Manual
21,SEAT,León 1.0 TSI S&S Style Launch Pack con Navegador 110,19400,Barcelona,2021, Gasolina,12281,Manual
22,FORD,Mustang NUEVO  FASTBACK GT 5.0 Ti-VCT V8 336KW (450CV) 6v. Euro 6.2,51600,Valencia,2021, Gasolina,1500,Manual
23,AUDI,A5 Coupé 3.0TDI quattro S-Tronic,15450,Granada,2010, Diésel,303000,Automático
24,VOLKSWAGEN,Polo 1.2 TSI Advance DSG 90,11750,Asturias,2014, Gasolina,18350,Automático
25,FORD,Fiesta 1.1 PFI LPG 55KW TREND 75 5P,13999,Asturias,2020, Gasolina,41,Manual
26,FORD,Focus 1.0 Ecoboost ST Line Aut. 125,17500,Barcelona,2019, Gasolina,51300,Automático
27,PEUGEOT,508 1.5BlueHDi S&S Business Line EAT8 130,28700,Castellón,2021, Diésel,11804,Automático
28,AUDI,A3 Sportback 1.6TDI Ambiente 105,10749,Palencia,2013, Diésel,149000,Manual
29,VOLKSWAGEN,Passat 2.0TDI Advance BMT,14999,Murcia,2011, Diésel,99000,Manual
30,VOLKSWAGEN,Golf 2.0 TSI GTI Performance DSG7 180kW,28990,Córdoba,2018, Gasolina,75000,Automático
31,MERCEDES-BENZ,Clase A 180 7G-DCT,31000,Burgos,2021, Gasolina,12900,Automático
32,JAGUAR,E-Pace 2.0D I4 R-Dynamic Base AWD Aut. 150,27900,Alicante,2018, Diésel,90000,Automático
33,RENAULT,Captur 1.5dCi eco2 Energy Life 90,14000,Murcia,2016, Diésel,125000,Manual
34,CITROEN,C5 Aircross Hybrid Shine EAT8,35900,Salamanca,2021, Híbrido Enchufable,9580,Automático
35,PEUGEOT,3008 SUV 1.2 S&S PureTech Active 130,22800,Vizcaya,2020, Gasolina,19000,Manual
36,PORSCHE,Cayenne Turbo Aut.,24999,Alicante,2008, Gasolina,150000,Automático
37,SEAT,Ibiza 1.2 12V Reference,4990,Valencia,2005, Gasolina,47582,Manual
38,KIA,Rio 1.0 MHEV iMT Concept 100CV (Pack Style) Eco-Dynamics,13490,Valencia,2021, Híbrido,15738,Manual
39,SKODA,Kamiq 1.0 TSI Ambition 81kW,19990,Barcelona,2021, Gasolina,1,Manual
40,AUDI,A3 Sedan S line 35 TDI 110kW S tronic,28000,Barcelona,2020, Diésel,23733,Manual
41,FORD,EcoSport 1.0 EcoBoost 125cv Trend,12200,Vizcaya,2016, Gasolina,44400,Manual
42,RENAULT,Captur 1.5dCi Energy eco2 Zen 66kW,13900,Islas Baleares,2018, Diésel,63444,Manual
43,BMW,X1 sDrive 18dA,41900,Islas Baleares,2021, Diésel,1709,Automático
44,SKODA,Scala 1.5 TSI Ambition DSG 110kW,18990,Madrid,2020, Gasolina,26714,Automático
45,JEEP,Wrangler Unlimited 2.8CRD Rubicon Aut.,74899,Valencia,2017, Diésel,29600,Automático
46,AUDI,A3 Sedán 2.0TDI S Line Edition S-T 7 110kW,25900,Lugo,2018, Diésel,126937,Automático
47,SKODA,Octavia Combi 2.0TDI RS DSG,17900,Lugo,2013, Diésel,140874,Automático
48,TOYOTA,Yaris 1.5 VVT-I HYBRID ACTIVE TECH 5P,17500,Valencia,2021, Gasolina,14837,Automático
49,MERCEDES-BENZ,Clase A 180CDI BE AMG Line,18500,Salamanca,2014, Diésel,92000,Manual
50,MERCEDES-BENZ,Clase CLS SEDAN 2.0  300 D 245 4P,68000,Granada,2021, Diésel,8000,Automático
51,NISSAN,Juke 1.5dCi Acenta 4x2,12000,Murcia,2015, Diésel,118000,Manual
52,MERCEDES-BENZ,Clase E Familiar  Automático de 5 Puertas,17000,Sevilla,2015, Diésel,165239,Automático
53,VOLKSWAGEN,Golf 2.0TDI CR BMT GTD 184,18990,Valladolid,2016, Diésel,128000,Manual
54,BMW,Serie 5 520iA,40900,Valencia,2020, Gasolina,25485,Automático
55,SKODA,Superb Combi 2.0TDI AdBlue Ambition DSG 110kW,22900,Vizcaya,2019, Diésel,70000,Automático
56,BMW,Serie 1 118d Business 110 kW (150 CV),32900,Asturias,2021, Diésel,28399,Automático
57,RENAULT,Mégane 1.5dCi Blue Zen EDC 85kW,17290,Madrid,2019, Diésel,90350,Automático
58,BMW,Serie 3 320d,29990,Cantabria,2019, Diésel,29000,Manual
59,DODGE,Nitro 2.8CRD 4WD SE,8400,Valencia,2007, Diésel,198500,Manual
60,SUZUKI,Vitara 1.6 GLX Aut.,20500,Valencia,2018, Gasolina,50000,Automático
61,VOLVO,XC60 B4 Inscription AWD Aut.,44900,Murcia,2019, Diésel,58000,Automático
62,SEAT,León 1.6TDI CR S&S Reference 115,19490,Cáceres,2019, Diésel,60361,Manual
63,PEUGEOT,208 Allure Pack Eléctrico 100kW,29278,Madrid,2022, Eléctrico,2,Automático
64,SEAT,Ibiza 1.2 12V Reference,4990,Valencia,2005, Gasolina,47582,Manual
65,BMW,Serie 5 520iA,40900,Valencia,2020, Gasolina,25485,Automático
66,MERCEDES-BENZ,Clase A 180 7G-DCT,31000,Burgos,2021, Gasolina,12900,Automático
67,JAGUAR,E-Pace 2.0D I4 R-Dynamic Base AWD Aut. 150,27900,Alicante,2018, Diésel,90000,Automático
68,RENAULT,Captur 1.5dCi eco2 Energy Life 90,14000,Murcia,2016, Diésel,125000,Manual
69,MERCEDES-BENZ,Clase A 180CDI BE AMG Line,18500,Salamanca,2014, Diésel,92000,Manual
70,MERCEDES-BENZ,Clase CLS SEDAN 2.0  300 D 245 4P,68000,Granada,2021, Diésel,8000,Automático
71,NISSAN,Juke 1.5dCi Acenta 4x2,12000,Murcia,2015, Diésel,118000,Manual
72,JEEP,Wrangler Unlimited 2.8CRD Rubicon Aut.,74899,Valencia,2017, Diésel,29600,Automático
73,AUDI,A3 Sedán 2.0TDI S Line Edition S-T 7 110kW,25900,Lugo,2018, Diésel,126937,Automático
74,SKODA,Octavia Combi 2.0TDI RS DSG,17900,Lugo,2013, Diésel,140874,Automático
75,TOYOTA,Yaris 1.5 VVT-I HYBRID ACTIVE TECH 5P,17500,Valencia,2021, Gasolina,14837,Automático
76,KIA,Rio 1.0 MHEV iMT Concept 100CV (Pack Style) Eco-Dynamics,13490,Valencia,2021, Híbrido,15738,Manual
77,SKODA,Kamiq 1.0 TSI Ambition 81kW,19990,Barcelona,2021, Gasolina,1,Manual
78,MERCEDES-BENZ,Clase E Familiar  Automático de 5 Puertas,17000,Sevilla,2015, Diésel,165239,Automático
79,VOLKSWAGEN,Golf 2.0TDI CR BMT GTD 184,18990,Valladolid,2016, Diésel,128000,Manual
80,VOLVO,XC40 D3 Momentum,32850,Málaga,2018, Diésel,38339,Manual
81,BMW,Serie 1 118d M Sport Edition,16950,Toledo,2013, Diésel,149000,Manual
82,MERCEDES-BENZ,Clase A 200 7G-DCT,33900,Zaragoza,2020, Gasolina,18900,Automático
83,VOLKSWAGEN,Golf 1.4 Conceptline,4550,Valencia,2005, Gasolina,238000,Manual
84,MERCEDES-BENZ,Clase CLA Shooting Brake 250e 8G-DCT,45900,Navarra,2021, Híbrido Enchufable,15000,Automático
85,MERCEDES-BENZ,Clase GLA 220d Style 4Matic 7G-DCT,23900,Madrid,2016, Diésel,147000,Automático
86,SMART,Forfour EQ Passion,15490,Madrid,2020, Eléctrico,27000,Automático
87,LAND-ROVER,Range Rover Sport 2.0 Si4 PHEV HSE 404,78900,Valencia,2018, Híbrido Enchufable,79000,Automático
88,NISSAN,Leaf 40 kWh N-Connecta,27200,Vizcaya,2021, Eléctrico,8,Automático
89,AUDI,A5 Coupé 40 TDI Advanced quattro S tronic,41880,Madrid,2020, Diésel,39800,Automático
90,HYUNDAI,Kona 1.0 TGDI Klass 4x2,13990,Islas Baleares,2018, Gasolina,50306,Manual
91,MINI,Mini Cooper D,13845,Valencia,2016, Diésel,129257,Manual
92,AUDI,A3 Sportback 35 TFSI 150cv S tronic Black line,29431,Madrid,2020, Gasolina,42508,Automático
93,SEAT,Mii 1.0 Ecofuel GNC S&S Style Edition Plus 68,10490,Valencia,2019, Gas,32535,Manual
94,TOYOTA,C-HR 125H Dynamic Plus,21990,Palencia,2017, Híbrido,54230,Automático
95,SKODA,Scala 1.5 TSI Ambition DSG 110kW,19290,Madrid,2020, Gasolina,24960,Automático
96,MERCEDES-BENZ,Clase A 180CDI BE Style,12900,Valencia,2014, Diésel,210000,Manual
97,MERCEDES-BENZ,Clase CLS 350d 4Matic Aut.,52900,Murcia,2018, Diésel,99000,Automático
98,OPEL,Insignia ST 1.6CDTI S&S Business ecoTEC 136,12600,Barcelona,2017, Diésel,154903,Manual
99,PEUGEOT,308 SW 1.6e-HDi Style 115,10260,Vizcaya,2015, Diésel,99000,Manual
100,BMW,Serie 1 128tiA,42900,Barcelona,2021, Gasolina,4080,Automático
101,BMW,Serie 4 420dA Coupé,57900,Barcelona,2021, Diésel,4132,Automático
102,MINI,Mini Cabrio One,17800,Alicante,2017, Gasolina,46500,Manual
103,AUDI,A5 Sportback 2.0TDI quattro S tronic 140kW,28900,Salamanca,2017, Diésel,140000,Automático
104,NISSAN,Qashqai 1.3 DIG-T N-Connecta 4x2 103kW,21200,Valencia,2019, Gasolina,28000,Manual
105,PEUGEOT,2008 1.5BlueHDi S&S GT Line EAT8 130,23900,Valencia,2020, Diésel,47000,Automático
106,LAND-ROVER,Range Rover Evoque 2.2L TD4 Pure Tech 4x4 Aut.,19900,Valencia,2014, Diésel,186000,Automático
107,NISSAN,Qashqai 1.3 DIG-T N-Connecta 4x2 103kW,24900,Girona,2021, Gasolina,14500,Manual
108,BMW,Serie 4 420d Cabrio,23900,Zaragoza,2016, Diésel,184000,Manual
109,MERCEDES-BENZ,Clase A Mercedes-AMG 35 4MATIC+,55000,Barcelona,2019, Gasolina,35963,Automático
110,VOLKSWAGEN,T-Roc ADVANCE STYLE 1.0 TSI 81 KW (110 CV) 6 VEL.,22400,Murcia,2021, Gasolina,16991,Manual
111,KIA,Cee´d Pro_Cee´d 1.6CRDi Drive,9000,Murcia,2014, Diésel,148000,Manual
112,AUDI,A5 Sportback 2.0TDI quattro S tronic 140kW,28900,Salamanca,2017, Diésel,140000,Automático
113,NISSAN,Qashqai 1.3 DIG-T N-Connecta 4x2 103kW,21200,Valencia,2019, Gasolina,28000,Manual
114,PEUGEOT,308 SW 1.6e-HDi Style 115,10260,Vizcaya,2015, Diésel,99000,Manual
115,BMW,Serie 1 128tiA,42900,Barcelona,2021, Gasolina,4080,Automático
116,BMW,Serie 4 420dA Coupé,57900,Barcelona,2021, Diésel,4132,Automático
117,MINI,Mini Cabrio One,17800,Alicante,2017, Gasolina,46500,Manual
118,PEUGEOT,2008 1.5BlueHDi S&S GT Line EAT8 130,23900,Valencia,2020, Diésel,47000,Automático
119,LAND-ROVER,Range Rover Evoque 2.2L TD4 Pure Tech 4x4 Aut.,19900,Valencia,2014, Diésel,186000,Automático
120,NISSAN,Qashqai 1.3 DIG-T N-Connecta 4x2 103kW,24900,Girona,2021, Gasolina,14500,Manual
121,BMW,Serie 4 420d Cabrio,23900,Zaragoza,2016, Diésel,184000,Manual
122,VOLKSWAGEN,T-Cross 1.0 TSI Edition,17230,Valencia,2022, Gasolina,1,Manual
123,MINI,Mini 1.6 COOPER COUPE 122 3P,11300,Asturias,2013, Gasolina,131000,Manual
124,VOLKSWAGEN,T-Roc ADVANCE STYLE 1.0 TSI 81 KW (110 CV) 6 VEL.,22400,Murcia,2021, Gasolina,16991,Manual
125,KIA,Cee´d Pro_Cee´d 1.6CRDi Drive,9000,Murcia,2014, Diésel,148000,Manual
126,BMW,X3 2.0d,12900,Lugo,2007, Diésel,84827,Manual
127,TOYOTA,Yaris 1.5 VVT-IE 100KW S-EDITION CVT 5P,14500,Valencia,2021, Gasolina,12233,Manual
128,MERCEDES-BENZ,Clase A Mercedes-AMG 35 4MATIC+,55000,Barcelona,2019, Gasolina,35963,Automático
129,VOLKSWAGEN,Scirocco 2.0TDI DSG 170,12900,Alicante,2011, Diésel,190000,Automático
130,OPEL,Zafira 1.4 T S/S Excellence Aut. 140,16700,Alicante,2018, Gasolina,62700,Automático
131,VOLKSWAGEN,Golf GTE 1.4 TSI,28500,Valencia,2020, Híbrido Enchufable,21000,Automático
132,MINI,Countryman Cooper SD ALL4 Aut.,16400,Valencia,2014, Diésel,130000,Automático
133,FORD,Focus RS,34900,Lugo,2016, Gasolina,73421,Manual
134,MERCEDES-BENZ,Clase GLE Coupé 63 AMG S 4Matic+ Aut.,289000,Pontevedra,2020, Gasolina,3500,Automático
135,VOLKSWAGEN,Taigo 1.5 TSI R-Line DSG 110kW,24788,Valencia,2022, Gasolina,1,Automático
136,MITSUBISHI,Outlander 220DI-D Motion AT 4WD,12750,Alicante,2013, Diésel,226072,Automático
137,FORD,Ka 1.20 Auto-S&S Urban,6990,La Coruña,2014, Gasolina,75211,Manual
138,DACIA,Logan 0.9 TCE GLP Essential 66kW,8500,Vizcaya,2018, Gas,65000,Manual
139,MERCEDES-BENZ,Clase C C-CLASS 200 D BERLINA,37900,Murcia,2020, Diésel,33927,Automático
140,MERCEDES-BENZ,Clase GLA 180,23900,Barcelona,2017, Gasolina,62882,Manual
141,DS,DS7 Crossback 2.0BlueHDi So Chic Aut.,22999,Álava,2018, Diésel,108526,Automático
142,BMW,Serie 2 216d Active Tourer,19200,Vizcaya,2016, Diésel,54289,Manual
143,CITROEN,C4 Picasso 1.6HDI SX,2800,Madrid,2008, Diésel,240000,Manual
144,KIA,Sportage Berlina  Manual de 5 Puertas,13990,Cantabria,2015, Gasolina,76000,Manual
145,MERCEDES-BENZ,Clase CLS Berlina  Automático de 4 Puertas,11900,Cantabria,2006, Diésel,168000,Automático
146,NISSAN,Micra 5P IG-T 68 KW (92 CV) E6D-F 4X2 N-SPORT,14900,Vizcaya,2021, Gasolina,11201,Manual
147,TOYOTA,Auris Touring Sports 120T Active,15490,Zamora,2017, Gasolina,52325,Manual
148,PEUGEOT,2008 1.6 BlueHDI GT Line 100,19000,Pontevedra,2020, Diésel,35710,Manual
149,VOLKSWAGEN,Touran 2.0TDI CR BMT Sport 110kW,20400,Madrid,2016, Diésel,135223,Manual
150,SEAT,León BERLINA CON PORTON 2.0 TDI 110KW S,25500,Murcia,2020, Diésel,11873,Automático
151,MERCEDES-BENZ,Clase C C-CLASS SEDAN 2.1 220 D 170 4P,31500,Granada,2018, Diésel,55212,Manual
152,FORD,Puma SUV 1.0 EcoBoost MHEV Titanium 155,24900,Castellón,2020, Gasolina,6040,Manual
153,FORD,Fiesta 1.25 Trend 82,4200,Murcia,2011, Gasolina,166000,Manual
154,MERCEDES-BENZ,Clase B B-CLASS 180 D,33400,Murcia,2021, Diésel,17644,Automático
155,SKODA,Fabia 1.0 TSI Ambition 70kW,13390,Pontevedra,2021, Gasolina,21000,Manual
156,MINI,Mini John Cooper Works Aut.,41900,Barcelona,2021, Gasolina,4150,Automático
157,RENAULT,Clio 1.5dCi SS Energy Business 55kW,9250,Cantabria,2016, Diésel,118623,Manual
158,FORD,Focus RS,34900,Lugo,2016, Gasolina,73421,Manual
159,VOLKSWAGEN,Scirocco 2.0TDI DSG 170,12900,Alicante,2011, Diésel,190000,Automático
160,OPEL,Zafira 1.4 T S/S Excellence Aut. 140,16700,Alicante,2018, Gasolina,62700,Automático
161,VOLKSWAGEN,Golf GTE 1.4 TSI,28500,Valencia,2020, Híbrido Enchufable,21000,Automático
162,MINI,Countryman Cooper SD ALL4 Aut.,16400,Valencia,2014, Diésel,130000,Automático
163,MERCEDES-BENZ,Clase C C-CLASS 200 D BERLINA,37900,Murcia,2020, Diésel,33927,Automático
164,MERCEDES-BENZ,Clase GLA 180,23900,Barcelona,2017, Gasolina,62882,Manual
165,MERCEDES-BENZ,Clase GLE Coupé 63 AMG S 4Matic+ Aut.,289000,Pontevedra,2020, Gasolina,3500,Automático
166,VOLKSWAGEN,Taigo 1.5 TSI R-Line DSG 110kW,24788,Valencia,2022, Gasolina,1,Automático
167,DS,DS7 Crossback 2.0BlueHDi So Chic Aut.,22999,Álava,2018, Diésel,108526,Automático
168,MITSUBISHI,Outlander 220DI-D Motion AT 4WD,12750,Alicante,2013, Diésel,226072,Automático
169,FORD,Ka 1.20 Auto-S&S Urban,6990,La Coruña,2014, Gasolina,75211,Manual
170,DACIA,Logan 0.9 TCE GLP Essential 66kW,8500,Vizcaya,2018, Gas,65000,Manual
171,BMW,Serie 2 216d Active Tourer,19200,Vizcaya,2016, Diésel,54289,Manual
172,CITROEN,C4 Picasso 1.6HDI SX,2800,Madrid,2008, Diésel,240000,Manual
173,MERCEDES-BENZ,Clase A 200d 7G-DCT,23900,Pontevedra,2017, Diésel,58600,Automático
174,AUDI,Q2 35 TFSI Black line edition S tronic 110kW,32000,Lleida,2021, Gasolina,26144,Automático
175,FORD,Focus C-Max 1.8TDci Trend,3500,Madrid,2006, Diésel,201000,Manual
176,NISSAN,Primera 1.9dCi Acenta,3900,Girona,2005, Diésel,161000,Manual
177,AUDI,A1 Sportback 30 TFSI Adrenalin,22900,Barcelona,2021, Gasolina,28082,Manual
178,PORSCHE,Cayenne Turbo Coupé Aut.,154999,Valencia,2020, Gasolina,16000,Automático
179,TOYOTA,RAV-4 2.5  2WD Hybrid Feel!,24890,Madrid,2018, Híbrido,89000,Automático
180,FORD,Mustang Fastback 5.0 Ti-VCT GT,47000,Alicante,2019, Gasolina,4300,Manual
181,VOLVO,XC60 Business Plus D4 Aut.,35990,Ciudad Real,2019, Diésel,38084,Automático
182,NISSAN,Qashqai 1.5dCi Acenta 4x2,15250,Sevilla,2018, Diésel,96717,Manual
183,AUDI,Q3 1.4 TFSI CoD Design edition S tronic,25500,Barcelona,2017, Gasolina,30773,Automático
184,AUDI,A3 Sportback 40 e-tron S line S tronic,31500,León,2020, Híbrido Enchufable,10,Automático
185,RENAULT,Clio TCe Zen 74kW,15490,Cantabria,2020, Gasolina,26130,Manual
186,RENAULT,Scénic Grand 1.3 TCe GPF Zen 103kW,23990,Cantabria,2021, Gasolina,16818,Manual
187,FIAT,Seicento Vintage,1999,Zaragoza,2006, Gasolina,105152,Manual
188,DODGE,Challenger Coupé Aut.,44900,Lleida,2019, Gasolina,12000,Automático
189,MERCEDES-BENZ,Clase A 200d 7G-DCT,23900,Pontevedra,2017, Diésel,58600,Automático
190,TOYOTA,RAV-4 2.5 hybrid 2WD Advance,20490,Madrid,2017, Híbrido,136000,Automático
191,TOYOTA,C-HR 1.8 125H Advance,19900,Madrid,2018, Híbrido,65000,Automático
192,MAZDA,Mazda6 2.0 Skyactiv-G Evolution Tech Aut.,26900,Pontevedra,2020, Gasolina,11300,Automático
193,NISSAN,Qashqai 1.5dCi Acenta 4x2,15250,Sevilla,2018, Diésel,96717,Manual
194,AUDI,Q3 1.4 TFSI CoD Design edition S tronic,25500,Barcelona,2017, Gasolina,30773,Automático
195,AUDI,A3 Sportback 40 e-tron S line S tronic,31500,León,2020, Híbrido Enchufable,10,Automático
196,VOLKSWAGEN,Golf 2.0TDI CR BMT GTD DSG 184,23400,Pontevedra,2016, Diésel,64800,Automático
197,FORD,Mustang Fastback 5.0 Ti-VCT GT,47000,Alicante,2019, Gasolina,4300,Manual
198,VOLVO,XC60 Business Plus D4 Aut.,35990,Ciudad Real,2019, Diésel,38084,Automático
199,RENAULT,Clio TCe Zen 74kW,15490,Cantabria,2020, Gasolina,26130,Manual
200,RENAULT,Scénic Grand 1.3 TCe GPF Zen 103kW,23990,Cantabria,2021, Gasolina,16818,Manual
201,FORD,Focus 1.0 Ecoboost ST Line 125,16250,Barcelona,2019, Gasolina,53400,Manual
202,LAND-ROVER,Range Rover Evoque 2.0D I4 MHEV S AWD Aut. 163,45900,Barcelona,2021, Diésel,12500,Automático
203,AUDI,A1 Sportback 1.0 TFSI Adrenalin,16490,Cantabria,2018, Gasolina,40825,Manual
204,LAND-ROVER,Discovery Sport 2.0TD4 SE 4x4 150,29990,Sevilla,2017, Diésel,56400,Manual
205,AUDI,A4 2.0TDI S line edition S tronic 140kW,24190,Barcelona,2017, Diésel,124358,Automático
206,CUPRA,Formentor 2.0 TSI 190 DSG 4Drive,36490,Málaga,2021, Gasolina,6000,Automático
207,MERCEDES-BENZ,Clase A 200CDI BE AMG Line 7G-DCT,21900,Pontevedra,2016, Diésel,97900,Automático
208,VOLVO,XC40 2.0 D4 MOMENTUM AUTO AWD 190 5P,32695,Madrid,2018, Diésel,51889,Automático
209,RENAULT,Scénic 1.3 TCe Energy Limited 103kW,17200,Madrid,2018, Gasolina,30300,Manual
210,AUDI,A6 Avant 3.0TDI quattro S-Tronic 200kW,26990,Zamora,2016, Diésel,110000,Automático
211,TOYOTA,C-HR 1.8 125H Advance,22790,Madrid,2019, Híbrido,31557,Automático
212,FORD,Ka 1.2 Duratec Auto-Start-Stop Urban,6900,Sevilla,2015, Gasolina,31117,Manual
213,AUDI,A4 2.0TDI S line edition S tronic 140kW,24190,Barcelona,2017, Diésel,124358,Automático
214,MERCEDES-BENZ,Clase A 200CDI BE AMG Line 7G-DCT,21900,Pontevedra,2016, Diésel,97900,Automático
215,FORD,Focus 1.0 Ecoboost ST Line 125,16250,Barcelona,2019, Gasolina,53400,Manual
216,LAND-ROVER,Range Rover Evoque 2.0D I4 MHEV S AWD Aut. 163,45900,Barcelona,2021, Diésel,12500,Automático
217,AUDI,A1 Sportback 1.0 TFSI Adrenalin,16490,Cantabria,2018, Gasolina,40825,Manual
218,LAND-ROVER,Discovery Sport 2.0TD4 SE 4x4 150,29990,Sevilla,2017, Diésel,56400,Manual
219,JEEP,Compass 1.3 PHEV Trailhawk EAWD Aut. 240,39500,Barcelona,2021, Híbrido Enchufable,5,Automático
220,BMW,Serie 3 320dA xDrive (4.75),37400,Murcia,2019, Diésel,69071,Automático
221,AUDI,A1 1.4TDI ultra Adrenalin,12500,Madrid,2015, Diésel,92466,Manual
222,AUDI,Q5 2.0TDI Design quattro-ultra S tronic 140kW,33500,Barcelona,2017, Diésel,65272,Automático
223,PORSCHE,911 Carrera S Cabriolet,74990,Alicante,2013, Gasolina,162800,Manual
224,AUDI,A6 Avant 3.0TDI quattro S-Tronic 200kW,26990,Zamora,2016, Diésel,110000,Automático
225,PEUGEOT,3008 SUV 1.6BlueHDi Allure S&S EAT6 120,19400,Zaragoza,2018, Diésel,103505,Automático
226,KIA,Sportage 1.7CRDi VGT Eco-Dynamics Drive 4x2,17900,Zaragoza,2018, Diésel,30763,Manual
227,AUDI,A4 S line ed 2.0 TDI 110kW S tronic Avant,29400,Barcelona,2018, Diésel,64877,Automático
228,VOLKSWAGEN,Golf 2.0 TDI 5p Advance Edition BMT,10999,Zaragoza,2015, Diésel,193608,Manual
229,VOLKSWAGEN,T-Roc 1.5 TSI Advance Style,21500,Lleida,2018, Gasolina,73000,Manual
230,JAGUAR,F-Pace 2.0i4D Prestige Aut. AWD 180,31000,Madrid,2017, Diésel,72153,Automático
231,JEEP,Renegade 1.0 Limited 4x2,22300,Barcelona,2021, Gasolina,50,Manual
232,FIAT,500 1.2 GLP Lounge,11350,Barcelona,2019, Gas,28900,Manual
233,MINI,Mini Cooper D,15900,Barcelona,2017, Diésel,64000,Manual
234,OPEL,Corsa 1.5D DT S/S Edition 100,14990,Cantabria,2020, Diésel,8138,Manual
235,MERCEDES-BENZ,Clase A 180d 7G-DCT,29900,Pontevedra,2020, Diésel,65000,Automático
236,AUDI,A1 Sportback 1.0 TFSI Attracted,14900,Valencia,2017, Gasolina,70900,Manual
237,SEAT,Arona 1.0 TSI Ecomotive S&S Style 110,15400,Vizcaya,2021, Gasolina,14781,Manual
238,NISSAN,Juke 1.0 DIG-T N-Connecta 4x2 DCT 7 117,20900,Asturias,2020, Gasolina,11136,Automático
239,FIAT,500 500e 3+1 87Kw La Prima,33000,Málaga,2021, Eléctrico,9,Automático
240,BMW,Serie 8 M8 Competition Coupe 625cv,135890,Madrid,2020, Gasolina,14000,Automático
241,AUDI,A4 S line ed 2.0 TDI 110kW S tronic Avant,29400,Barcelona,2018, Diésel,64877,Automático
242,VOLKSWAGEN,Golf 2.0 TDI 5p Advance Edition BMT,10999,Zaragoza,2015, Diésel,193608,Manual
243,JAGUAR,XJ XJ6 2.7D V6 Executive Aut.,14690,Madrid,2007, Diésel,125000,Automático
244,NISSAN,Juke 1.0 DIG-T N-Connecta 4x2 DCT 7 117,20900,Asturias,2020, Gasolina,11136,Automático
245,FIAT,500 500e 3+1 87Kw La Prima,33000,Málaga,2021, Eléctrico,9,Automático
246,FIAT,Tipo 1.0 City Sport,17900,Málaga,2021, Gasolina,10,Manual
247,PEUGEOT,3008 SUV 1.6BlueHDi Allure S&S EAT6 120,19400,Zaragoza,2018, Diésel,103505,Automático
248,KIA,Sportage 1.7CRDi VGT Eco-Dynamics Drive 4x2,17900,Zaragoza,2018, Diésel,30763,Manual
249,AUDI,A1 Sportback 1.0 TFSI Attracted,14900,Valencia,2017, Gasolina,70900,Manual
250,MERCEDES-BENZ,Clase A 200,24300,Pontevedra,2017, Gasolina,38300,Manual
251,MERCEDES-BENZ,Clase C Estate 220d 7G Plus,25900,Pontevedra,2016, Diésel,65300,Automático
252,MERCEDES-BENZ,Clase C 63 AMG 7G Plus,54900,Murcia,2016, Gasolina,60000,Automático
253,HONDA,Civic 1.8 i-VTEC Sport Navi Pack,17990,Madrid,2016, Gasolina,70000,Manual
