,brand,model,price,province,matriculation,fuel,kilometres,gear
1584,BMW,Serie 3 320iA Gran Turismo xDrive Sport,22900,Barcelona,2014, Gasolina,77000,Automático
1585,MINI,Countryman Cooper SD Aut.,30900,Asturias,2019, Diésel,29973,Automático
1586,BMW,Serie 2 218d Gran Tourer,23900,Asturias,2018, Diésel,86277,Automático
1587,VOLVO,XC40 1.5 T4 RECHARGE INSCRIPTION DCT 211 5P,45295,Madrid,2020, Eléctrico,18463,Automático
1588,MERCEDES-BENZ,Clase A 180 7G-DCT,30890,Vizcaya,2021, Gasolina,11060,Automático
1589,PEUGEOT,3008 Hybrid 225 e-EAT8 Allure Pack,25990,Madrid,2021, Diésel,11770,Automático
1590,TOYOTA,Auris 1.8 140H Hybrid Feel!,15890,Madrid,2018, Híbrido,53352,Automático
1591,RENAULT,Scénic Grand  LIMITED Energy dCi 110 eco2 5p Euro 6,10890,Madrid,2015, Diésel,69860,Manual
1592,OPEL,Corsa 1.2T XHL 74KW ELEGANCE 5P,16400,Murcia,2021, Gasolina,9197,Manual
1593,KIA,Sorento 2.2 CRDi 147kW (200CV) Concept 4x2,22990,Granada,2017, Diésel,55420,Manual
1594,FERRARI,FF ,144999,Málaga,2013, Gasolina,25600,Automático
1595,RENAULT,Captur BUSINESS 1.5 DCI 90 CV,14990,Pontevedra,2018, Diésel,53908,Manual
1596,CITROEN,C3 PureTech 60KW (83CV) FEEL Feel,12900,Madrid,2019, Gasolina,20000,Manual
1597,VOLKSWAGEN,T-Cross TODOTERRENO 1.0 TSI 70KW ADVANCE 95 5P,18500,Murcia,2021, Gasolina,10745,Manual
1598,SEAT,Ateca 1.0 TSI S&S Ecomotive Style,17990,Barcelona,2018, Gasolina,52000,Manual
1599,OPEL,Mokka X 1.4 T 103KW LPG EXCELLENCE 2WD 5P,15700,Alicante,2018, Gasolina,85823,Manual
1600,LAND-ROVER,Discovery Sport 2.0 L TD4 150 CV 4X4,33500,Pontevedra,2019, Diésel,69966,Automático
1601,AUDI,A1 Sportback 30 TFSI S line,20900,Madrid,2020, Gasolina,14000,Manual
1602,HYUNDAI,i10 1.0 Klass,7950,Madrid,2017, Gasolina,76000,Manual
1603,MINI,Mini Cooper SE,27900,Cádiz,2020, Eléctrico,10000,Automático
1604,VOLKSWAGEN,Polo BERLINA CON PORTON 1.0 TSI 70KW ADVANCE 95 5P,14500,Murcia,2019, Gasolina,69850,Manual
1605,MERCEDES-BENZ,Clase A 200CDI BE AMG Line 7G-DCT,23900,Pontevedra,2016, Diésel,57500,Automático
1606,RENAULT,Mégane S.T. 1.5dCi Dynamique 110,5999,Madrid,2013, Diésel,200000,Manual
1607,AUDI,Q3 2.0TDI Sport edition quattro S tronic 135kW,23900,Madrid,2017, Diésel,122356,Automático
1608,VOLKSWAGEN,T-Roc 1.5 TSI Sport,23100,Valencia,2018, Gasolina,48100,Manual
1609,TOYOTA,Yaris 1.5 Active,11690,Madrid,2017, Gasolina,56000,Manual
1610,BMW,Serie 3 318d Business,22200,Badajoz,2017, Diésel,24500,Manual
1611,PEUGEOT,2008 1.5 BlueHDI S&S Signature 100,14990,Madrid,2019, Diésel,20708,Manual
1612,AUDI,Q5 2.0TDI S line quattro-ultra S tronic 120kW,39000,Madrid,2018, Diésel,41959,Automático
1613,BMW,Serie 1 116d EfficientDynamics,19900,Valladolid,2017, Diésel,48562,Manual
1614,CITROEN,Xsara Picasso 1.6i Exclusive 110,3890,Sevilla,2005, Gasolina,140908,Manual
1615,VOLKSWAGEN,Golf 1.6TDI Edition 85kW,14500,Pontevedra,2017, Diésel,99870,Manual
1616,LAND-ROVER,Discovery Sport 2.0D I4 L.Flw HSE AWD Auto 150,46900,Barcelona,2021, Diésel,0,Automático
1617,CITROEN,Xsara Picasso 1.6i Exclusive 110,3890,Sevilla,2005, Gasolina,140908,Manual
1618,SEAT,León ST 2.0 TDI 150cv DSG-6 St&Sp Style Conne,14190,Madrid,2015, Diésel,114128,Automático
